"Intensity"	"Intensity QC02_210326"	"Intensity QC02_210331"	"Intensity QC02_210402"	"Intensity QC02_210406"	"Intensity QC02_210410"	"Intensity QC02_210411"	"LFQ intensity QC02_210326"	"LFQ intensity QC02_210331"	"LFQ intensity QC02_210402"	"LFQ intensity QC02_210406"	"LFQ intensity QC02_210410"	"LFQ intensity QC02_210411"	"Identification type QC02_210326"	"Identification type QC02_210331"	"Identification type QC02_210402"	"Identification type QC02_210406"	"Identification type QC02_210410"	"Identification type QC02_210411"	"Protein IDs"	"Peptides"	"Peptides QC02_210326"	"Peptides QC02_210331"	"Peptides QC02_210402"	"Peptides QC02_210406"	"Peptides QC02_210410"	"Peptides QC02_210411"	"Reverse"	"Only identified by site"	"Potential contaminant"	"Sequence coverage [%]"	"Sequence length"
147120000	16571000	23193000	12681000	39203000	19427000	36048000	7730700	6095100	5819900	6280700	4950400	7031200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9H061"	7	6	5	5	7	4	6	NA	NA	NA	44.6	195
90974000	11184000	13729000	6053600	20567000	19169000	20271000	2680600	2531200	2360500	2612900	2302000	2603700	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8WXH0"	18	10	9	6	8	10	9	NA	NA	NA	3.6	6885
479340000	47892000	50125000	44662000	94328000	125230000	117100000	23857000	19294000	24710000	20747000	33192000	28358000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P30047"	3	3	2	2	3	3	3	NA	NA	NA	60.7	84
1.2646e+10	1381400000	1393900000	1478400000	3098700000	2493500000	2.8e+09	255490000	237220000	299660000	296060000	273870000	284240000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P23396"	17	17	15	16	16	16	16	NA	NA	NA	73.7	243
102200000	12431000	14962000	7127500	21869000	19623000	26189000	5900700	6118400	3755100	5656800	5417400	6939100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NQ29"	7	7	7	7	7	7	7	NA	NA	NA	21.8	371
138810000	16606000	14251000	14616000	31703000	21572000	40064000	6508400	6043500	6752600	5354700	4316200	7164000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y508"	7	6	4	4	5	5	5	NA	NA	NA	40.8	228
13710000	7453900	0	0	2527400	1304100	2424600	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	NA	"By matching"	"By matching"	"By MS/MS"	"REV__O95171"	1	1	1	0	1	1	1	"+"	NA	NA	0	688
138730000	19092000	18132000	11736000	36491000	20258000	33022000	11746000	0	12679000	11277000	14932000	10126000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BUN8"	3	3	1	2	3	3	3	NA	NA	NA	10.8	251
0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	"By MS/MS"	NA	"By MS/MS"	"Q9P1Y5"	1	0	0	0	1	0	1	NA	"+"	NA	1	1249
126450000	12493000	12738000	6557100	33067000	29238000	32356000	11474000	9733300	0	11966000	9501200	12202000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8TDP1"	5	3	3	1	3	3	4	NA	NA	NA	40.2	164
48326000	9661800	4235100	1815200	17198000	3326300	12090000	6678900	5310400	0	5895900	0	5216100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96BQ5"	4	3	2	1	2	2	2	NA	NA	NA	15.4	260
160350000	18219000	40098000	13123000	27655000	26601000	34658000	7371200	7970200	6521300	5781700	6219800	6860600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q15018"	7	6	7	6	6	6	7	NA	NA	NA	21	415
862230000	68130000	87749000	84099000	218080000	182370000	221800000	22890000	22612000	26841000	26861000	23133000	28222000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P45973"	8	7	6	7	7	8	8	NA	NA	NA	50.8	191
20794000	2266800	3343700	569660	6663600	0	7950400	2104200	2554800	0	2937900	0	2395500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"Q86W56"	4	2	3	1	2	0	3	NA	NA	NA	6.5	976
4.125e+09	462320000	519840000	406890000	1.037e+09	796300000	902620000	45330000	45348000	48915000	52364000	44459000	49502000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P05023;P13637;P50993;Q13733;P54707;P20648"	36	31	30	30	32	28	28	NA	NA	NA	40.7	1023
95858000	12815000	8518400	16651000	28606000	6660200	22607000	3700300	3440200	6140600	3916900	0	3684200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P22570"	8	5	4	6	5	3	5	NA	NA	NA	23.4	491
458240000	57959000	56009000	43373000	115100000	82549000	103250000	7195000	7100600	8047600	7438100	6735500	7458900	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"A0MZ66"	19	16	13	12	16	15	16	NA	NA	NA	37.2	631
310090000	33454000	35356000	31747000	80961000	54478000	74091000	30977000	33215000	36245000	36068000	28971000	33642000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O75828"	8	8	6	7	7	6	8	NA	NA	NA	43	277
483090000	66562000	59318000	30129000	126360000	73892000	126830000	9828700	10368000	9064400	11638000	10961000	11012000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q06124"	15	13	13	8	10	10	12	NA	NA	NA	35.4	593
128440000	10719000	18112000	10242000	36433000	19575000	33361000	5179100	5055300	4046800	4763800	4139700	4944300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UPT5"	7	4	6	5	7	5	7	NA	NA	NA	11.6	735
3135700000	366910000	454630000	307010000	783520000	571060000	652530000	48887000	48858000	50850000	52951000	49833000	49652000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"CON__Q3SZ57;P02771"	28	23	21	22	21	21	25	NA	NA	"+"	63.1	610
858370000	101280000	115530000	77387000	214620000	180240000	169310000	20167000	19825000	23453000	22226000	21133000	22020000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q5JTV8"	17	14	15	11	13	14	13	NA	NA	NA	42.9	583
33474000	5251400	0	4581400	8449800	4774400	10417000	4162600	0	4065900	3144300	0	4225700	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9H330"	2	2	0	2	2	2	2	NA	NA	NA	3.2	879
55677000	5465100	0	9369900	15979000	15735000	9128300	3168500	0	4544700	3635700	3923500	2895300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6YP21"	5	3	1	4	4	4	5	NA	NA	NA	16.7	454
363860000	46726000	44931000	42604000	79543000	65313000	84742000	10060000	9188600	11152000	11496000	10685000	10154000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96TC7"	10	9	7	9	7	8	8	NA	NA	NA	27.7	470
8.53e+08	30602000	187880000	181610000	69270000	315490000	68151000	93289000	96510000	126480000	96625000	105840000	83794000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95453"	14	12	9	11	7	11	11	NA	NA	NA	26.1	639
348570000	42466000	53936000	27634000	68686000	82200000	73644000	21122000	20950000	15617000	18002000	32686000	18421000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P07919;A0A096LP55"	3	3	3	3	3	3	3	NA	NA	NA	56	91
303970000	58476000	29134000	30034000	75039000	58530000	52760000	14874000	14732000	17269000	19439000	20091000	17663000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P16278;Q6UWU2"	10	5	5	6	8	6	8	NA	NA	NA	20.4	677
103150000	18711000	13861000	4243200	24597000	13415000	28327000	8153900	8355000	5711800	6681700	4641400	7898100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P62877"	3	3	3	2	2	2	3	NA	NA	NA	25	108
7553900	1979600	1745000	0	3829300	0	0	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	NA	NA	"Q53S33"	1	1	1	0	1	0	0	NA	NA	NA	14	107
46092000	4304600	6364700	6306200	9480600	9766000	9869600	3381100	2916100	3966100	3583100	4096500	3845200	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BVT8"	3	2	3	3	2	2	2	NA	NA	NA	20.7	246
6508600000	737660000	870690000	652170000	1621800000	1206400000	1419900000	111050000	109460000	116140000	118450000	109280000	117470000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q99832"	25	23	24	22	23	24	21	NA	NA	NA	55.8	543
106570000	11535000	16894000	10996000	24651000	20226000	22270000	5820600	4805000	4856100	6398700	6086000	6173900	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9ULR0"	4	3	4	4	3	3	3	NA	NA	NA	20.7	285
4986700000	578470000	721090000	490570000	1125700000	995480000	1075400000	86690000	86340000	81940000	85619000	79548000	86256000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P52209"	21	17	21	14	17	16	19	NA	NA	NA	54.2	483
164330000	17870000	23576000	14156000	39794000	28044000	40888000	5134600	4908500	5465000	5389900	6388200	5354100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y4B6"	14	12	8	8	11	7	12	NA	NA	NA	13.9	1507
26009000	1344300	1167700	3035600	6030100	6992700	7438800	0	0	1660000	0	1555400	1614200	"By MS/MS"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BTA9"	5	1	1	3	2	4	3	NA	NA	NA	12.7	647
13677000	1080500	3200500	1285000	2143000	3974900	1992600	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P15941"	3	2	2	1	1	2	1	NA	NA	NA	2.6	1255
1.812e+09	202920000	212770000	171450000	461560000	388510000	374780000	27521000	28321000	30213000	29963000	36693000	30163000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q16822;P35558"	23	22	17	18	23	20	21	NA	NA	NA	48.1	640
163460000	19556000	31165000	11792000	47064000	22604000	31280000	7711200	6327200	6856500	6163400	5489900	6779700	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q99598"	10	6	9	5	7	5	6	NA	NA	NA	53.1	290
1258100000	149710000	178940000	121090000	322140000	194070000	292180000	24528000	26313000	26882000	26482000	22777000	27473000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P50416"	22	18	18	15	18	17	18	NA	NA	NA	34.8	773
111760000	6301400	15143000	9507100	40647000	5300600	34862000	10530000	7952200	9338700	12225000	0	10593000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P21953"	4	2	3	2	4	1	4	NA	NA	NA	13	392
176540000	17961000	18158000	24482000	51011000	22677000	42251000	7208900	6222900	9574100	8417800	9558600	8431100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9Y697"	8	6	6	7	8	4	8	NA	NA	NA	31.3	457
21854000	4066600	3691400	1884600	4557400	2956900	4696700	1700700	3293900	0	0	0	1868000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"P04424"	3	3	2	1	1	1	2	NA	NA	NA	8	464
13409000	1437900	1230800	2004200	3271300	1209400	4255300	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"Q9H6Q4"	2	1	1	1	1	1	2	NA	NA	NA	9.2	476
132180000	19237000	7684900	3394000	40337000	27042000	34481000	4848800	4088600	4753600	5273900	3556900	4023100	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95785"	8	6	3	2	6	8	7	NA	NA	NA	6.5	1651
2299700000	203780000	276640000	276610000	580170000	440050000	522440000	66172000	68575000	75097000	80497000	63469000	72499000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P36542"	8	8	7	8	8	8	8	NA	NA	NA	28.9	298
1575700000	163360000	220790000	161480000	399780000	265610000	364670000	23017000	24143000	26533000	25774000	20866000	25277000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6DD88"	19	17	18	17	18	15	18	NA	NA	NA	43.3	541
1138700000	124960000	146410000	104170000	298140000	206350000	258680000	20766000	23297000	22388000	24630000	23472000	23159000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BZE4"	20	16	16	17	17	14	16	NA	NA	NA	35.2	634
991470000	102940000	103440000	83968000	256690000	240440000	204010000	23832000	19715000	24441000	27152000	30290000	25487000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O75306"	16	11	13	12	12	14	14	NA	NA	NA	46.7	463
812150000	77762000	281690000	52602000	139820000	104350000	155930000	48421000	51921000	55128000	41366000	40802000	51739000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O43719"	18	15	12	12	13	15	14	NA	NA	NA	30.3	755
106540000	20023000	11431000	8598800	27056000	22662000	16767000	4940200	4912700	4704600	4887400	7476300	4375300	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q92785"	9	7	5	6	8	5	7	NA	NA	NA	33.5	391
61031000	7469000	4960700	6423000	14866000	12361000	14952000	2758600	2989800	3010500	3042700	3375300	3269800	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95865"	5	4	2	4	4	3	4	NA	NA	NA	26.3	285
79681000	7590800	5617200	16391000	21174000	10347000	18561000	4078100	4457400	6397800	5638900	3997100	5584400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8IX01"	7	4	3	4	5	4	5	NA	NA	NA	10.4	1082
23556000	5394900	3875300	0	4205800	2610300	7469400	3525600	0	0	0	0	2189600	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BRG1"	3	2	3	0	1	1	2	NA	NA	NA	15.9	176
65412000	7536100	10575000	5076000	19803000	7948600	14473000	7143500	8463000	0	8552700	0	8315600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8N0U8"	3	2	2	1	3	1	2	NA	NA	NA	15.9	176
9692400000	1040500000	1248200000	854640000	2253200000	2151400000	2144500000	128870000	128110000	124800000	143280000	152180000	147770000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P78371"	31	26	29	28	27	25	30	NA	NA	NA	76.1	535
189850000	24512000	6382200	23313000	51795000	20941000	62908000	17811000	7664400	18834000	22565000	20290000	18632000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NVZ3"	4	3	2	3	3	4	3	NA	NA	NA	30.4	263
2.345e+09	258200000	285490000	246620000	593590000	412540000	548560000	75274000	67617000	80012000	87002000	71239000	80656000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P55769"	6	6	6	6	6	6	6	NA	NA	NA	46.1	128
1146600000	119700000	133260000	112190000	276550000	257820000	247060000	25921000	27646000	29163000	28751000	37284000	27047000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95573"	23	17	17	16	17	16	16	NA	NA	NA	42.6	720
88627000	6744300	9714600	4691500	22306000	22398000	22772000	3546100	4644800	4304600	4670500	5044500	4106600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O94822"	11	5	4	4	6	8	6	NA	NA	NA	7.9	1766
262220000	33434000	34344000	22309000	61971000	45556000	64609000	14152000	12937000	13356000	13506000	14867000	12541000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NR50"	11	9	7	5	6	5	9	NA	NA	NA	35	452
623330000	65929000	109830000	58185000	154410000	102460000	132510000	16999000	17361000	17754000	18839000	16302000	17588000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8N684"	12	10	12	8	8	8	9	NA	NA	NA	31.6	471
62160000	5389700	6750400	4777100	19934000	11320000	13990000	3365800	3083300	3654900	4616700	2951000	4940900	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q5VWN6"	4	3	3	3	3	3	3	NA	NA	NA	2.1	2430
34051000	2872500	2110000	4712400	10171000	7326300	6859300	2327900	2200100	1930900	2950400	1915100	2101000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q5HYK3"	5	2	2	4	3	4	3	NA	NA	NA	19.9	327
6.282e+09	642540000	814110000	783340000	1341300000	1156600000	1544200000	188230000	191070000	197920000	202810000	161260000	197090000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P67809"	13	12	11	12	11	11	13	NA	NA	NA	49.1	324
4880400000	507860000	666500000	494720000	1106300000	1152500000	952490000	61516000	63890000	68522000	71707000	72006000	68364000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P31939"	35	31	29	31	29	29	30	NA	NA	NA	74.7	592
377810000	45302000	51746000	44610000	67124000	77339000	91693000	5902200	6069600	6562400	6800800	5593600	6505500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9P2E9;Q8N4C6"	27	22	18	18	13	20	18	NA	NA	NA	27.3	1410
114050000	13243000	18816000	14088000	20930000	23312000	23663000	6035700	5452800	6372800	5803500	6005300	5261500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q3YEC7"	7	5	6	5	4	5	6	NA	NA	NA	13.9	729
38277000	1976700	0	5114800	11603000	10707000	8875700	0	0	4151300	4077700	3488700	3305500	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9NP66"	3	1	0	2	2	3	2	NA	NA	NA	11.8	347
7403300	485880	1060100	341310	605090	2795200	2115700	0	0	0	0	1328100	924740	"By matching"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q8WUU5"	3	1	2	1	2	2	2	NA	NA	NA	17.5	269
17124000	2099900	2283900	0	5280900	4004400	3455200	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By matching"	"By MS/MS"	"Q5BKT4;Q5I7T1"	1	1	1	1	1	1	1	NA	NA	NA	3.2	473
101610000	10978000	14961000	10125000	25828000	17658000	22054000	2979000	3516800	4124700	3544100	3265400	3215800	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UP95;Q9UHW9;Q9H2X9"	7	6	6	5	6	5	6	NA	NA	NA	7	1085
38831000	4203500	1732500	4391000	9221800	5551100	13732000	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O75438"	3	2	1	2	2	1	2	NA	NA	NA	36.2	58
13886000	2252800	0	2021500	5906400	3705000	0	1595000	0	0	2354300	1616500	0	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	"Q9BY41"	2	2	0	1	2	2	0	NA	NA	NA	6.6	377
69788000	0	69788000	0	0	0	0	0	0	0	0	0	0	NA	"By MS/MS"	NA	NA	NA	NA	"REV__Q9ULG3"	1	0	1	0	0	0	0	"+"	"+"	NA	0	409
794180000	86742000	56072000	70597000	224960000	118590000	237220000	67096000	66328000	72832000	73726000	47087000	87492000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P07108"	4	4	4	2	4	3	4	NA	NA	NA	52.9	87
1.012e+09	125460000	103240000	83519000	240020000	223700000	236110000	45556000	41475000	44597000	46983000	46589000	45796000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q96A72"	7	7	5	6	6	7	7	NA	NA	NA	39.2	148
84800000	12999000	10824000	9863000	18841000	11518000	20754000	4521800	4224000	3845300	3946800	3896100	4554600	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BXF6"	7	6	4	5	5	5	5	NA	NA	NA	19.8	653
4169300000	438240000	475450000	392500000	925480000	1063300000	874310000	60614000	62730000	64745000	65378000	96100000	63536000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"O95373"	24	20	18	21	22	21	24	NA	NA	NA	31.5	1038
990090000	126470000	110110000	77429000	281840000	171250000	222980000	15567000	16727000	18337000	18504000	17916000	18067000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P36507;A0A1B0GUL7"	19	15	12	12	15	14	15	NA	NA	NA	48.5	400
36640000	0	0	0	0	0	36640000	0	0	0	0	0	0	NA	NA	NA	NA	NA	"By MS/MS"	"REV__Q9GZT6"	1	0	0	0	0	0	1	"+"	"+"	NA	0	254
812010000	96467000	104460000	91044000	223090000	120940000	176020000	12400000	12300000	14381000	12814000	10710000	12797000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P30876"	29	23	19	22	23	21	21	NA	NA	NA	31.3	1174
228680000	27879000	42983000	30144000	51986000	27763000	47924000	12673000	12696000	11270000	12085000	8901900	12429000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q13547"	12	10	10	10	9	10	9	NA	NA	NA	31.5	482
71218000	10519000	4720300	4899400	13145000	24740000	13194000	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P53801"	1	1	1	1	1	1	1	NA	NA	NA	10	180
318590000	37512000	41703000	17195000	94527000	47037000	80619000	15402000	15107000	16611000	16410000	15155000	19667000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P62312"	5	4	5	2	4	2	3	NA	NA	NA	55	80
24481000	2513100	3443200	2911000	0	8839200	6774500	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"Q9Y342"	1	1	1	1	0	1	1	NA	NA	NA	12.6	182
12086000	1619300	0	1780900	3972400	2059800	2653800	0	0	0	0	0	0	"By matching"	NA	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"Q07617"	2	1	0	2	2	1	1	NA	NA	NA	4.9	926
37004000	1453300	1240500	4211700	9646200	4005700	16447000	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q99707"	7	1	1	1	1	3	2	NA	NA	NA	8.5	1265
164040000	22431000	19275000	17771000	41287000	23398000	39877000	7731300	7953800	6839200	8604100	4687800	7340500	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9BV57"	6	5	5	4	4	4	4	NA	NA	NA	42.5	179
35202000	0	7538700	0	13776000	0	13888000	0	0	0	0	0	0	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"REV__Q9P2S2"	1	1	1	0	1	1	1	"+"	NA	NA	0	1712
98124000	16942000	10823000	8765200	24218000	14893000	22483000	4449400	4648600	4117300	4013100	4357500	4074800	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q6GMV2"	6	6	3	4	5	4	5	NA	NA	NA	16.5	418
68489000	4809400	8654500	1518800	26320000	6639300	20547000	3739600	5099200	0	0	3474200	4788400	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q5T0F9"	5	3	3	1	2	3	3	NA	NA	NA	9.6	858
9097900	0	2783500	1265800	0	5048600	0	0	0	0	0	0	0	NA	"By matching"	"By matching"	NA	"By MS/MS"	NA	"Q9UGP4"	3	0	2	1	0	3	0	NA	NA	NA	7.7	676
472930000	55561000	71501000	40641000	115330000	85282000	104620000	9035300	8735700	9552600	9844300	7858600	9330700	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"P42224"	21	14	16	10	15	15	16	NA	NA	NA	36.3	750
65101000	7191200	8220700	0	18869000	14665000	16156000	4189900	5081400	0	5892900	6814500	5152800	"By MS/MS"	"By MS/MS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q9UJ68"	3	3	2	0	3	2	3	NA	NA	NA	21.3	235
6788000	1026100	3188700	0	0	1265800	1307400	0	0	0	0	0	0	"By matching"	"By matching"	NA	NA	"By MS/MS"	"By matching"	"Q9NPL8"	1	1	1	0	0	1	1	NA	NA	NA	5.3	285
435100000	51122000	62855000	46553000	130140000	53330000	91100000	11092000	10931000	11711000	11633000	8881400	11214000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q14134"	15	11	12	11	13	8	11	NA	NA	NA	32	588
1949600000	206140000	197100000	215360000	443260000	468100000	419600000	40008000	39841000	46916000	41946000	38745000	41557000	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"Q14498;Q86U06"	16	15	12	15	14	16	15	NA	NA	NA	37.7	530
